,RVN,Match Code
197,2003-0002-17,"['0000412', '0000413', '0000414', '0000589']"
198,2003-0002-18,"['0000204', '0000246', '0000256', '0000293', '0000682']"
199,2003-0002-19,"['0000199', '0000225', '0000293', '0000420']"
200,2003-0002-20,"['0000010', '0000201', '0000245', '0000290']"
201,2003-0002-21,"['0000202', '0000232', '0000254', '0000291']"
202,2003-0002-22,"['0000045', '0000281', '0000398']"
203,2003-0004-01,"['0000224', '0000284', '0000363', '0000394', '0000729']"
204,2003-0004-02,"['0000224', '0000283', '0000363', '0000389', '0000436', '0000729']"
205,2003-0004-03,"['0000006', '0000296', '0000363', '0000394', '0000459']"
206,2003-0004-04,"['0000186', '0000282', '0000337']"
207,2003-0005-01,"['0000210', '0000226', '0000294']"
208,2003-0006-01,"['0000007', '0000210', '0000294', '0000578', '0000682']"
209,2003-0006-02,"['0000260', '0000284', '0000435', '0000647']"
210,2003-0007-01,"['0000304', '0000310', '0000373']"
211,2003-0008-01,"['0000068', '0000204', '0000225', '0000252', '0000293', '0000306', '0000307', '0000308', '0000341', '0000682']"
212,2003-0009-01,"['0000368', '0000542', '0000640']"
213,2003-0010-01,"['0000237', '0000293', '0000370', '0000395', '0000529', '0000620', '0000621', '0000654', '0000682']"
214,2004-0001-02,"['0000077', '0000078', '0000079', '0000106', '0000279', '0000335', '0000445', '0000454', '0000556', '0000563', '0000570', '0000769']"
215,2006-0001-01,"['0000167', '0000184', '0000249', '0000268', '0000396', '0000453', '0000474', '0000669', '0000682']"
216,2006-0002-01,"['0000044', '0000047', '0000048', '0000050', '0000052', '0000053', '0000665', '0000671', '0000753']"
217,2007-0001-01,"['0000128', '0000140', '0000150', '0000158', '0000160', '0000163', '0000164', '0000440', '0000540', '0000627', '0000691', '0000792', '0000836', '0000844', '0000849']"
218,2007-0001-03,"['0000140', '0000149', '0000540', '0000627', '0000637', '0000689', '0000792', '0000844', '0000845', '0000849']"
219,2008-0001-01,"['0000618', '0000713']"
220,2012-0001-01,"['0000067', '0000424', '0000468', '0000681']"
221,2012-0002-01,"['0000108', '0000147', '0000482', '0000485', '0000847', '0000848']"
222,2013-0001-01,"['0000346', '0000348', '0000676']"
223,2014-0001-01,"['0000023', '0000062', '0000117', '0000263', '0000511', '0000661', '0000736', '0000796', '0000801']"
224,2014-0001-02,"['0000024', '0000063', '0000117', '0000263', '0000511', '0000663', '0000736', '0000796', '0000879']"
225,2014-0001-03,"['0000023', '0000062', '0000117', '0000263', '0000511', '0000525', '0000661', '0000736', '0000759', '0000794', '0000796', '0000801']"
226,2014-0002-01,"['0000037', '0000512', '0000543', '0000657', '0000736', '0000812', '0000874']"
227,2014-0002-02,"['0000037', '0000043', '0000301', '0000339', '0000402', '0000513', '0000546', '0000646', '0000657', '0000736', '0000810', '0000874']"
228,2014-0002-03,"['0000037', '0000423', '0000512', '0000543', '0000609', '0000657', '0000736', '0000811', '0000874']"
229,2014-0003-02,"['0000023', '0000062', '0000117', '0000157', '0000216', '0000263']"
230,2014-0004-01,"['0000024', '0000117', '0000261', '0000344', '0000673', '0000736']"
231,2014-0004-02,"['0000024', '0000115', '0000117', '0000261', '0000342', '0000512', '0000673', '0000686', '0000736']"
232,2014-0004-03,"['0000024', '0000117', '0000261', '0000343', '0000512', '0000672', '0000684', '0000736', '0000825']"
233,2014-0004-04,"['0000024', '0000115', '0000117', '0000261', '0000344', '0000512', '0000673', '0000686', '0000736']"
234,2014-0004-05,"['0000345', '0000668']"
235,2014-0004-06,"['0000350', '0000666', '0000724']"
236,2014-0004-07,"['0000024', '0000115', '0000117', '0000261', '0000344', '0000512', '0000673', '0000685', '0000736']"
237,2014-0004-08,"['0000024', '0000115', '0000117', '0000261', '0000344', '0000673', '0000736']"
238,2014-0004-09,"['0000024', '0000063', '0000116', '0000117', '0000263', '0000510', '0000514', '0000518', '0000663', '0000736']"
